INFO:root:Batch 280, Loss: 5.10664176940918
INFO:root:Batch 281, Loss: 5.758069038391113
INFO:root:Batch 282, Loss: 5.25223445892334
INFO:root:Batch 283, Loss: 5.427004814147949
INFO:root:Batch 284, Loss: 5.388513088226318
INFO:root:Batch 285, Loss: 5.530026435852051
INFO:root:Batch 286, Loss: 5.844627857208252
INFO:root:Batch 287, Loss: 5.431589126586914
INFO:root:Batch 288, Loss: 5.763422012329102
INFO:root:Batch 289, Loss: 5.639917850494385
INFO:root:Batch 290, Loss: 5.338616371154785
INFO:root:Batch 291, Loss: 5.514838218688965
INFO:root:Batch 292, Loss: 5.5025200843811035
INFO:root:Batch 293, Loss: 4.870667934417725
INFO:root:Batch 294, Loss: 5.566427707672119
INFO:root:Batch 295, Loss: 5.7032084465026855
INFO:root:Batch 296, Loss: 5.474618434906006
INFO:root:Batch 297, Loss: 5.303100109100342
INFO:root:Batch 298, Loss: 5.984304904937744
INFO:root:Batch 299, Loss: 5.611771106719971
INFO:root:Batch 300, Loss: 5.948103427886963
INFO:root:Batch 301, Loss: 5.340781211853027
INFO:root:Batch 302, Loss: 5.303350448608398
INFO:root:Batch 303, Loss: 4.820056438446045
INFO:root:Batch 304, Loss: 6.018155574798584
INFO:root:Batch 305, Loss: 5.230918884277344
INFO:root:Batch 306, Loss: 5.358405590057373
INFO:root:Batch 307, Loss: 5.2210822105407715
INFO:root:Batch 308, Loss: 5.268094062805176
INFO:root:Batch 309, Loss: 5.4110002517700195
INFO:root:Batch 310, Loss: 4.793942928314209
INFO:root:Batch 311, Loss: 5.384631633758545
INFO:root:Batch 312, Loss: 5.10199499130249
INFO:root:Batch 313, Loss: 5.3405375480651855
INFO:root:Batch 314, Loss: 5.845951557159424
INFO:root:Batch 315, Loss: 5.203585624694824
INFO:root:Batch 316, Loss: 5.205404281616211
INFO:root:Batch 317, Loss: 5.591734409332275
INFO:root:Batch 318, Loss: 4.894862651824951
INFO:root:Batch 319, Loss: 5.041448593139648
INFO:root:Batch 320, Loss: 5.599644184112549
INFO:root:Batch 321, Loss: 4.750331401824951
INFO:root:Batch 322, Loss: 4.710910797119141
INFO:root:Batch 323, Loss: 5.223274230957031
INFO:root:Batch 324, Loss: 5.5365142822265625
INFO:root:Batch 325, Loss: 5.0026774406433105
INFO:root:Batch 326, Loss: 5.133862018585205
INFO:root:Batch 327, Loss: 4.843554496765137
INFO:root:Batch 328, Loss: 5.862654685974121
INFO:root:Batch 329, Loss: 5.310589790344238
INFO:root:Batch 330, Loss: 4.888950824737549
INFO:root:Batch 331, Loss: 5.096616268157959
INFO:root:Batch 332, Loss: 5.082259178161621
INFO:root:Batch 333, Loss: 4.932613849639893
INFO:root:Batch 334, Loss: 5.018982887268066
INFO:root:Batch 335, Loss: 5.164364337921143
INFO:root:Batch 336, Loss: 4.695289611816406
INFO:root:Batch 337, Loss: 5.377100467681885
INFO:root:Batch 338, Loss: 5.851968288421631
INFO:root:Batch 339, Loss: 5.491337299346924
INFO:root:Batch 340, Loss: 5.644664764404297
INFO:root:Batch 341, Loss: 4.941565990447998
INFO:root:Batch 342, Loss: 5.322835445404053
INFO:root:Batch 343, Loss: 5.295739650726318
INFO:root:Batch 344, Loss: 4.41730260848999
INFO:root:Batch 345, Loss: 5.781376838684082
INFO:root:Batch 346, Loss: 4.979543685913086
INFO:root:Batch 347, Loss: 5.232861042022705
INFO:root:Batch 348, Loss: 5.0868449211120605
INFO:root:Batch 349, Loss: 4.861647129058838
INFO:root:Batch 350, Loss: 4.569108009338379
INFO:root:Batch 351, Loss: 4.992715835571289
INFO:root:Batch 352, Loss: 5.302300453186035
INFO:root:Batch 353, Loss: 4.6521077156066895
INFO:root:Batch 354, Loss: 5.263383865356445
INFO:root:Batch 355, Loss: 4.327470779418945
INFO:root:Batch 356, Loss: 4.751032829284668
INFO:root:Batch 357, Loss: 5.114675998687744
INFO:root:Batch 358, Loss: 5.466897487640381
INFO:root:Batch 359, Loss: 6.1645965576171875
INFO:root:Batch 360, Loss: 4.861844062805176
INFO:root:Batch 361, Loss: 5.0422515869140625
INFO:root:Batch 362, Loss: 5.30778169631958
INFO:root:Batch 363, Loss: 5.054764747619629
INFO:root:Batch 364, Loss: 4.382828235626221
INFO:root:Batch 365, Loss: 5.131591320037842
INFO:root:Batch 366, Loss: 5.3611531257629395
INFO:root:Batch 367, Loss: 5.475064277648926
INFO:root:Batch 368, Loss: 4.81190824508667
INFO:root:Batch 369, Loss: 4.768743515014648
INFO:root:Batch 370, Loss: 5.512049674987793
INFO:root:Batch 371, Loss: 4.941591739654541
INFO:root:Batch 372, Loss: 5.062760829925537
INFO:root:Batch 373, Loss: 4.733973026275635
INFO:root:Batch 374, Loss: 4.992691993713379
INFO:root:Batch 375, Loss: 5.096496105194092
INFO:root:Batch 376, Loss: 4.903372764587402
INFO:root:Batch 377, Loss: 5.071854114532471
INFO:root:Batch 378, Loss: 4.766750812530518
INFO:root:Batch 379, Loss: 4.80968713760376
INFO:root:Batch 380, Loss: 4.444502830505371
INFO:root:Batch 381, Loss: 5.266036033630371
INFO:root:Batch 382, Loss: 4.611234188079834
INFO:root:Batch 383, Loss: 4.94098424911499
INFO:root:Batch 384, Loss: 5.422983646392822
INFO:root:Batch 385, Loss: 4.717098712921143
INFO:root:Batch 386, Loss: 4.788669586181641
INFO:root:Batch 387, Loss: 4.948548793792725
INFO:root:Batch 388, Loss: 5.58979606628418
INFO:root:Batch 389, Loss: 5.614870071411133
